tên_bệnh,hội_chứng,chủ_chứng,triệu_chứng,lưỡi,mạch,bài_thuốc,vị_thuốc
Âm đạo đau,Can uất khí trệ,"âm đạo, âm hộ, vùng kín","Bộ phận sinh dục sưng đau lan đến bụng dưới, hông sườn và hai vú, phiền táo dễ tức giận, ngực đầy tức, lưỡi đỏ, rêu nhạt, mạch Huyền","lưỡi đỏ, rêu nhạt",mạch Huyền,Tiêu Dao Tán gia giảm,"Sài hồ, Bạch truật, Bạch thược, Qui đầu, Trần bì, Trích thảo, Sinh khương, Bạc hà, Bạch linh, Xuyên luyện tử, Hương phụ, Huyền hồ. (Nếu Can uất hoá hoả thêm: Đơn bì, Chi tử, Hạ khô thảo)"
Âm đạo đau,Can kinh thấp nhiệt,"âm đạo, âm hộ, vùng kín","Bộ phận sinh dục sưng đau, nhiều huyết trắng vàng như mủ, dính hôi, váng đầu, hoa mắt, miệng đắng, khô họng, khát thích uống nước, táo bón, tiểu vàng, rêu vàng bệu, mạch Huyền Hoạt Sác",rêu vàng bệu,mạch Huyền Hoạt Sác,"Long Đởm Tả Can Thang gia Hoàng bá, Uất kim","Hoàng cầm, Chi tử, Qui đầu, Sài hồ, Mộc thông, Cam thảo, Sinh địa, Long đởm thảo, Sa tiền, Trạch tả, Hoàng bá, Uất kim"
Âm đạo đau,Hàn trệ can mạch,"âm đạo, âm hộ, vùng kín","Bộ phận sinh dục co thắt đau chịu không được, sợ lạnh, tay chân lạnh, các khớp đau nhức, lưỡi tối, rêu trắng, mạch Trầm khẩn","lưỡi tối, rêu trắng",mạch Trầm khẩn,Xuyên Luyện Thang gia giảm,"Binh lang, Trạch tả, Xuyên luyện tử, Tiểu hồi, Trư linh, Bạch truật, Ô dược, Nhũ hương, Huyền hồ, Mộc hương, Ma hoàng, Sinh khương, Thông bạch"
Âm suy,Khí hư,,"Tiếng hơi đánh ra nặng, có khi liên tục có khi gián đoạn, mệt mỏi không sức, hơi thở ngắn, nói đứt quãng, vùng đầy bụng tức hoặc bụng dưới trằn nặng, da mặt không tươi, lưỡi nhạt, rêu trắng, mạch Nhược Hoãn","lưỡi nhạt, rêu trắng",mạch Nhược Hoãn,Bổ Trung Ích Khí thang thêm Chỉ xác,"Đẳng sâm, Hoàng kỳ, Chích thảo, Thăng ma, Qui đầu, Sài hồ, Bạch truật, Trần bì, Chỉ xác"
Âm suy,Vị táo,,"Trong âm đạo luôn có hơi, miệng háo, khô họng, táo bón, đầy bụng trướng, lưỡi đỏ, rêu vàng, mạch Hoạt Sác","lưỡi đỏ, rêu vàng",mạch Hoạt Sác,Ma Tử Nhân Hoàn,"Ma tử nhân, Hạnh nhân, Hậu phác, Đại hoàng, Chỉ thực, Bạch thược"
Âm suy,Khí uất,,"Trong âm đạo có tiếng hơi lúc nặng lúc nhẹ, tinh thần ưu uất, phiền táo dễ tức giận, đau ngực sườn, bụng dưới trướng đau, ợ hơi, ăn ít, thích thở dài, lưỡi bình thường, rêu trắng nhạt, mạch Huyền hoặc Huyền sáp","lưỡi bình thường, rêu trắng nhạt",mạch Huyền hoặc Huyền sáp,Tiêu Dao Tán thêm Chỉ xác,"Sài hồ, Bạch truật, Bạch thược, Qui đầu, Trần bì, Trích thảo, Sinh khương, Bạc hà, Bạch linh, Chỉ xác"
Âm suy,Đờm thấp,,"Trong âm đạo có hơi, huyết trắng nhiều, trắng đục, hông sườn đầy tức, nôn ra đờm dãi, lo sợ, hơi thở ngắn, miệng nhạt dính, lưỡi nhạt, rêu trắng bệu, mạch Hoạt Hoãn","lưỡi nhạt, rêu trắng bệu",mạch Hoạt Hoãn,Quất Bán Chỉ Khương Thang thêm Bạch truật,"Bạch truật, Phục linh, Quế chi, Sinh khương, Bán hạ, Trần bì, Chỉ thực"
Viêm hạnh đào,Phong nhiệt,,"Amidan sưng đỏ, sưng cao, chân thu gọn, mặt ngoài cao thấp không bằng, mới phát sợ rét phát nóng, đỏ hồng đau, khó nuốt, miệng ráo lưỡi khô, đau đầu, đầu lưỡi đỏ, rêu trắng mỏng, mạch Phù Hoạt Sác hữu lực","miệng ráo lưỡi khô, đầu lưỡi đỏ, rêu trắng mỏng",mạch Phù Hoạt Sác hữu lực,Thanh yết lợi cách thang,"Bạc hà, Ngưu bàng, Ngân hoa, Cát cánh, Xạ can, Huyền sâm, Sinh địa, Nhọ nồi, Bồ công anh, Sơn đậu căn"
Viêm hạnh đào,Nhiệt độc,,"Sốt cao, khô miệng, amidan sưng to, loét hoặc hoá mủ, có màng vàng hoặc trắng, đau họng nhiều không dám ăn, nổi hạch dưới hàm, gáy, nước tiểu đỏ, táo bón, rêu vàng dày, mạch Sác hữu lực",rêu vàng dày,mạch Sác hữu lực,Hoàng liên thanh hầu ẩm,"Ngân hoa, Hoàng liên, Hoàng bá, Xạ can, Huyền sâm, Sinh địa, Tang bì, Thạch cao, Liên kiều, Cát cánh, Cam thảo, Hoàng cầm, Ngưu tất, Sơn đậu căn, Xích thược"
Viêm hạnh đào,Âm hư,,"Bệnh tái phát liên tục hoặc dây dưa không khỏi, amidan sưng đau, sốt nhẹ, người mệt mỏi, khô miệng, hôi miệng, ho khan",,,Lục vị địa hoàng hoàn gia giảm,"Sinh địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Huyền sâm, Xạ can, Tri mẫu, Thiên hoa phấn, Địa cốt bì, Ngưu tất, Tang bì. (Nếu ho khan thêm: Hạnh nhân, Bối mẫu)"
Viêm hạnh đào,Khí hư,,"Bệnh tái phát liên tục, ăn uống khó khăn, lâu ngày da vàng sạm, chân đau tay mỏi, sắc mặt nhạt, dễ bị cảm mạo, mạch Hư Nhược",,mạch Hư Nhược,Bổ trung ích khí thang gia giảm,"Hoàng kỳ, Cam thảo, Nhân sâm, Qui đầu, Trần bì, Thăng ma, Sài hồ, Bạch truật, Long nhãn, Liên kiều, Hoàng cầm, Hạnh nhân"
Viêm hạnh đào,Huyết ứ,,"Yết hầu đau hay tái phát, kéo dài không khỏi, họng sưng sắc tối, chất họng sạm, mạch Sáp",,mạch Sáp,Lưu thị yết thư thang,"Xuyên khung, Qui đầu, Xích thược, Quế chi, Cam thảo, Đan sâm, Đào nhân, Xạ can, Cát cánh"
Anh lựu (Khí anh),Khí trệ đờm ngưng,,"Tuyến giáp sưng, bờ không rõ, sắc da bình thường, ấn mềm không đau, to nhỏ thay đổi theo trạng thái vui buồn, chất lưỡi hồng nhạt, rêu trắng mỏng hoặc trắng vàng","chất lưỡi hồng nhạt, rêu trắng mỏng hoặc trắng vàng",,Tứ Hải Sơ Uất Hoàn,"Thanh mộc hương, Trần bì, Hải cáp phấn, Hải đới, Hải tảo, Côn bố, Hải phiêu tiêu"
Anh lựu (Khí anh),Thận dương hư tổn,,"Tuyến giáp sưng kèm váng đầu, lưng gối đau mỏi, mệt mỏi, ra mồ hôi trộm hoặc tự hãn, lưỡi sắc nhợt ít rêu, mạch hư tế nhược",lưỡi sắc nhợt ít rêu,mạch hư tế nhược,Tứ Hải Sơ Uất Hoàn gia thêm vị bổ thận,"Thanh mộc hương, Trần bì, Hải cáp phấn, Hải đới, Hải tảo, Côn bố, Hải phiêu tiêu, Thỏ ti tử, Nhục thung dung, Bổ cốt chi, Hà thủ ô"
Anh lựu (Nhục anh),Khí trệ đờm ngưng,,"Khối u bề mặt trơn, cứng vừa, ấn không đau, kèm ngực đầy tức, họng hơi nghẹn, rêu lưỡi mỏng hơi nhầy, mạch Huyền Tế",rêu lưỡi mỏng hơi nhầy,mạch Huyền Tế,Hải Tảo Ngọc Hồ Thang hợp Tiêu Dao Tán gia giảm,"Hải tảo, Côn bố, Hải đới, Hạnh nhân, Liên kiều, Độc hoạt, Đương quy, Xuyên khung, Bạch thược, Sài hồ, Bạch truật, Phục linh, Cam thảo"
Anh lựu (Nhục anh),Vị nhiệt tỳ nhược,,"Khối u kèm ăn nhiều mau đói, người gầy, tiêu lỏng, lưỡi rêu mỏng nhầy, mạch Nhu",lưỡi rêu mỏng nhầy,mạch Nhu,Hải Tảo Ngọc Hồ Thang hợp Ngọc Nữ Tiễn gia giảm,"Hải tảo, Côn bố, Hải đới, Hạnh nhân, Liên kiều, Độc hoạt, Đương quy, Xuyên khung, Bạch thược, Sinh thạch cao, Thục địa, Mạch môn, Tri mẫu, Ngưu tất"
Anh lựu (Nhục anh),Can thận âm hư,,"Khối u kèm váng đầu, hồi hộp, bứt rứt, ra mồ hôi, tay run, kinh nguyệt ít hoặc bế kinh, lưỡi đỏ, mạch Sác",lưỡi đỏ,mạch Sác,Tri Bá Địa Hoàng Hoàn gia giảm (hoặc Bài thuốc kinh nghiệm trị bướu),"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Tri mẫu, Hoàng bá, Đương quy, Đan sâm, Hoàng dược tử, Hạ khô thảo, Sinh mẫu lệ, Côn bố, Hải phù thạch"
Anh lựu (Nhục anh),Đờm ứ ngưng kết,,"Khối u cứng hoặc đau, chất lưỡi đỏ tía, xám, hoặc có ban ứ huyết, mạch Tế Sáp",chất lưỡi đỏ tía,mạch Tế Sáp,Hải Tảo Ngọc Hồ Thang hợp Tiểu Kim Đơn,"Hải tảo, Côn bố, Hải đới, Hạnh nhân, Liên kiều, Độc hoạt, Đương quy, Xuyên khung, Bạch thược, Bạch giao hương, Thảo ô đầu, Ngũ linh chi, Địa long, Chế mã tiền tử, Nhũ hương, Một dược, Xạ hương, Mực tàu"
Áp xe phế,Phong nhiệt phạm phế,"ho ra mủ, khạc mủ, ho ra máu, đờm mủ, đờm tanh, đau ngực, mủ tanh, sốt cao rét run","Ho đàm dính, vùng đau tức ngực, sợ lạnh, sốt, ho nhiều, khó thở, khô miệng, rêu lưỡi vàng mỏng, mạch Phù Hoạt Sác hoặc Sác Thực",rêu lưỡi vàng mỏng,mạch Phù Hoạt Sác hoặc Sác Thực,Ngân Kiều Tán gia giảm,"Bạc hà, Cát cánh, Cam thảo, Đậu xị, Kim ngân hoa, Kinh giới huệ, Liên kiều, Lô căn, Ngưu bàng tử, Trúc diệp. (Gia: Cúc hoa, Mạn kinh tử nếu đau đầu; Bối mẫu, Hạnh nhân, Qua lâu nếu ho đàm nhiều; Sa sâm, Thiên môn, Thiên hoa phấn nếu tổn thương tân dịch; Uất kim, Đào nhân nếu đau ngực nhiều)"
Áp xe phế,Giai đoạn nung mủ,"ho ra mủ, khạc mủ, ho ra máu, đờm mủ, đờm tanh, đau ngực, mủ tanh, sốt cao rét run","Sốt cao, ra mồ hôi, không sợ lạnh, ho, thở gấp, ngực đầy tức, nôn ra đờm dãi tanh hôi hoặc mủ máu, khô miệng, khô họng, rêu lưỡi vàng dày, mạch Hoạt Sác",rêu lưỡi vàng dày,mạch Hoạt Sác,Thiên Kim Vi Hành Thang gia giảm,"Đào nhân, Đông qua nhân, Vĩ kinh, Ý dĩ nhân, Áp chích thảo, Kim ngân hoa, Liên kiều, Ngư tinh thảo. (Gia: Chi tử, Hoàng cầm, Thạch cao, Tri mẫu nếu nhiệt nhiều; Đình lịch tử, Tang bạch bì nếu suyễn)"
Áp xe phế,Giai đoạn vỡ mủ,"ho ra mủ, khạc mủ, ho ra máu, đờm mủ, đờm tanh, đau ngực, mủ tanh, sốt cao rét run","Sốt, khát thích uống, ho ói ra mủ máu hoặc như nước cơm, mùi tanh hôi, ngực đầy đau tức, khó thở không nằm được, chất lưỡi đỏ, rêu vàng nhớt, mạch Hoạt Sác","chất lưỡi đỏ, rêu vàng nhớt",mạch Hoạt Sác,Cát Cánh Thang hợp Thiên Kim Vi Hành Thang,"Bại tương thảo, Cam thảo, Cát cánh, Đông qua nhân, Hoàng cầm, Kim ngân hoa, Liên kiều, Ngư tinh thảo, Qua lâu, Vi căn, Ý dĩ nhân"
Ẩu thổ,Vị nhiệt,"nôn, buồn nôn, ói, ẩu thổ","Hơi trong miệng nồng nặc, đau vùng vị, khát nước, ưa uống lạnh, táo bón",,,Điều vị thừa khí thang gia giảm,"Bạch linh, Bạch truật, Bạch thược, Qui đầu, Đan bì, Hoàng liên, Nhân sâm, Đại hoàng, Cam thảo, Mang tiêu. (Nôn nhiều đờm gia Trần bì; Ăn vào thổ ngay gia Nhân sâm)"
Ẩu thổ,Can khí phạm vị,"nôn, buồn nôn, ói, ẩu thổ","Nôn mửa nước chua, đau sườn, miệng đắng, ợ hơi",,,Tiêu dao tán gia vị hợp Tả kim hoàn,"Bạch linh, Bạch thược, Qui đầu, Bạch truật, Sài hồ, Trần bì, Trích thảo, Chi tử, Nhân sâm, Truật nam, Hoàng liên, Ngô thù"
Ẩu thổ,Vị hư hàn,"nôn, buồn nôn, ói, ẩu thổ","Nôn mửa ra chất trong loãng, vị quản đau ưa ấm, thiện án, sau khi ăn một lúc mới nôn, nôn ra thức ăn và nôn ra đờm, ít mùi",,,Ôn trung tán hàn phương,"Sa sâm, Bạch truật, Bạch linh, Cam thảo, Trần bì, Bán hạ, Sinh khương, Phụ tử, Đinh hương"
Ẩu thổ,Âm hư,"nôn, buồn nôn, ói, ẩu thổ","Nôn mửa thất thường, khô miệng đắng nhưng không muốn ăn, lưỡi đỏ, rêu bong tróc, khô, mạch Tế Sác","lưỡi đỏ, rêu bong tróc",mạch Tế Sác,Tư âm nhuận táo phương,"Thục địa, Bạch linh, Sơn thù, Ngũ vị, Nhục quế"
Ẩu thổ,Thương thực,"nôn, buồn nôn, ói, ẩu thổ","Nôn ra chất chua và chất đục của thức ăn, đau bụng tức, nôn, ợ chua, không thích ấn vào, biếng ăn, ợ hơi, nôn ra thì dễ chịu, đại tiện lỏng hoặc bón, rêu lưỡi dày nhạt, mạch Hoạt Thực",rêu lưỡi dày nhạt,mạch Hoạt Thực,Bảo hòa hoàn gia giảm,"Bạch linh, Thần khúc, Liên kiều, Chỉ thực, La bạc tử, Sơn tra, Bán hạ, Hậu phác"
Ẩu thổ,Đàm ẩm,"nôn, buồn nôn, ói, ẩu thổ","Nôn ra đàm rãi, chóng mặt, hồi hộp, mạch Hoạt",,mạch Hoạt,Ôn đởm thang gia giảm,"Trần bì, Bán hạ, Bạch linh, Cam thảo, Chỉ thực, Trúc nhự, Sinh khương"
Bạch biến,Huyết táo,,"Vùng da bị bệnh khô ráo, kèm hoa mắt, ù tai, ngủ kém, đau lưng, kinh nguyệt không đều, chất lưỡi nhạt, ít rêu, mạch Trầm Tế","chất lưỡi nhạt, ít rêu",mạch Trầm Tế,Sinh huyết nhuận phu ẩm,"Qui đầu, Thục địa, Sinh địa, Hoàng kỳ, Thiên môn, Mạch môn, Ngũ vị, Thăng ma, Hoàng cầm, Hồng hoa, Đào nhân, Qua lâu"
Bạch biến,Phong thấp,,"Da xuất hiện vết trắng hoặc tía, ban đầu không đau ngứa, lâu dần hơi ngứa",,,Hồ ma hoàn (uống trong),"Hồ ma, Phòng phong, Khổ sâm, Xương bồ, Uy linh tiên, Bạch phụ, Độc hoạt, Cam thảo"
Cường giáp (Basedow),Can khí uất trệ,,"đau ngực sườn tức, đầy bụng ăn ít, rìa lưỡi đỏ, rêu vàng, mạch Huyền","rìa lưỡi đỏ, rêu vàng",mạch Huyền,Đơn Chi Tiêu Dao Tán gia giảm,"Sài hồ, Bạch truật, Bạch thược, Qui đầu, Trần Bì, Chích thảo, Sinh khương, Bạc hà, Bạch linh, Đan bì, Chi tử, Hậu phác"
Cường giáp (Basedow),Can hỏa thịnh,,"Bứt rứt, nóng nảy, hay cáu gắt, mặt đỏ ửng, sợ nóng, miệng đắng, mồ hôi nhiều, hoa mắt chóng mặt, tay chân run, lưỡi đỏ, rêu mỏng vàng, mạch Huyền Sác","lưỡi đỏ, rêu mỏng vàng",mạch Huyền Sác,Long Đởm Tả Can Thang gia giảm,"Long đởm thảo, Hoàng cầm, Chi tử, Thiên hoa, Sinh địa, Bạch thược, Ngọc trúc. (Nếu vị nhiệt thêm: Hoàng liên, Thạch cao; nóng nảy, mặt đỏ tay run thêm: Trân châu, Từ thạch, Câu đằng, Địa long; táo bón thêm: Đại hoàng)"
Cường giáp (Basedow),Tâm âm hư,,"Bứt rứt khó ngủ, hồi hộp ra mồ hôi, mệt mỏi, ngắn hơi, chất lưỡi đỏ bóng, ít rêu hoặc rêu mỏng, mạch Tế Sác","chất lưỡi đỏ bóng, ít rêu hoặc rêu mỏng",mạch Tế Sác,Bổ Tâm Đơn gia giảm,"Sa sâm, Huyền sâm, Đan sâm, Thiên môn, Mạch môn, Đương qui, Sinh địa, Bá tử nhân, Ngũ vị, Sao Táo nhân, Viễn trí, Chu sa. (Nếu thận âm hư thêm: Nữ trinh tử, Hạn liên thảo, Quy bản, Kỷ tử; nếu âm hư hỏa vượng thêm: Tri mẫu, Hoàng bá)"
Cường giáp (Basedow),Đàm thấp ngưng kết,,"Tuyến giáp to, ngực đầy tức, không muốn ăn, nôn, buồn nôn, tiêu lỏng, lưỡi bệu, rêu dày nhớt, mạch Nhu Hoạt","lưỡi bệu, rêu dày nhớt",mạch Nhu Hoạt,Hải Tảo Ngọc Hồ Thang,"Bán hạ, Đương qui, Xuyên khung, Hải tảo, Triết bối mẫu, Thanh bì, Phục linh, Côn bố, Trạch tả, Hải đới. (Nếu ngực tức sườn đau thêm: Xuyên luyện tử, Diên hồ sách; nôn, tiêu lỏng, mệt mỏi thêm: Bạch truật, Ý dĩ, Biển đậu)"
Cường giáp (Basedow),Hung tý,,"Đau ngực do can khí uất trệ, nhiệt đàm tắc kinh lạc",,,Phương sơ can thông lạc thanh nhiệt hóa đàm,"Khương bán hạ, Qua lâu bì, Chỉ thực, Uất kim, Hồng hoa, Đan sâm, Đăng tâm, Sao Hoàng liên"
Cường giáp (Basedow),Biến chứng - Chân tay yếu mềm,,"tay chân yếu mềm do can thịnh tỳ hư, khí thoát, đàm kết",,,Phương thanh can trợ tỳ hóa đàm tán kết,"Đơn bì, Chi tử, Thái tử sâm, Bạch truật sống, Chích Hoàng kỳ, Khương bán hạ, Thanh bì, Trần bì, Xuyên ngưu tất, Tàm sa, Côn bố"
Giảm bạch cầu,Khí huyết hư,"xuất huyết, bầm tím tự phát, chảy máu, hạch, gan lách to, tiểu cầu","Bạch cầu giảm dưới 4000/ml, váng đầu, đau đầu, tay chân không có sức, ăn uống kém, thân nhiệt giảm, mất ngủ",,,Thăng Áp Thang 1,"Hoàng kỳ, Hoàng tinh, Ý dĩ, Kỉ tử, Cốt toái bổ, Trích thảo"
Bệnh bạch huyết,Nhiệt độc và huyết nhiệt,"xuất huyết, bầm tím tự phát, chảy máu, hạch, gan lách to, tiểu cầu","Sốt cao, mệt mỏi li bì, khô đau họng, phiền táo, đái đỏ, loét miệng, chảy máu chân răng và dưới da, đau đầu, đau khớp, lưỡi đỏ, rêu vàng, mạch Hoạt Sác","lưỡi đỏ, rêu vàng",mạch Hoạt Sác,Thanh nhiệt giải độc lương huyết,"Sinh địa, Huyền sâm, Địa cốt bì, Sơn đậu căn, Ngân hoa, Bồ công anh, Xích thược, Hoàng liên, Cam thảo. (Loét miệng thêm: Hoàng liên, Hoàng cầm; Chảy máu thêm: Mao căn, Đại hoàng sao đen; Đau khớp thêm: Địa long; Khát nước thêm: Sa sâm, Thiên môn)"
Bệnh bạch huyết,Huyết ứ đàm kết,"xuất huyết, bầm tím tự phát, chảy máu, hạch, gan lách to, tiểu cầu","Lách to, nổi hạch",,,Hoạt huyết hoá đàm tiêu kết,"Qui đầu, Bạch thược, Tam lăng, Nga truật, Đan sâm, Hạ khô thảo, Liên kiều, Bối mẫu, Huyền sâm, Xạ can"
Bệnh bạch huyết,Khí hư,"xuất huyết, bầm tím tự phát, chảy máu, hạch, gan lách to, tiểu cầu","Sắc mặt trắng bệch, choáng đầu, mệt mỏi, tự hãn, hồi hộp, thở gấp, lưng gối mỏi đau, chất lưỡi nhạt",chất lưỡi nhạt,,Bổ trung ích khí thang / Tứ quân tử thang / Quy tỳ thang,"(Tùy bài chọn) Nhân sâm, Hoàng kỳ, Bạch truật, Cam thảo, Đương qui, Trần bì, Thăng ma, Sài hồ, Phục linh, Long nhãn nhục, Táo nhân, Viễn trí, Mộc hương..."
Bệnh bạch huyết,Âm hư,"xuất huyết, bầm tím tự phát, chảy máu, hạch, gan lách to, tiểu cầu","Triệu chứng âm hư: gầy nóng, ngũ tâm phiền nhiệt, khô miệng, lưỡi đỏ",lưỡi đỏ,,Lục vị địa hoàng hoàn / Tả quy hoàn,"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Kỷ tử, Thỏ ti tử, Quy bản, Ngưu tất..."
